registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
quay.io,redhat-developer/servicebinding-operator,v0.8.0,sha256:d4395e987d0aeffc603696d0630d8ab643e32c0da739296e998a75e9cd8243ac,IMAGE,linux,amd64,"",0,CASE,"",""
registry.redhat.io,openshift4/ose-cli,v4.3,sha256:5bc5f622a05b8993785c996890b7e8b19ca680788e525ae9e7833e365c1774f9,IMAGE,linux,amd64,"",0,CASE,"",""
registry.redhat.io,openshift4/ose-kube-rbac-proxy,v4.6.0,sha256:d1b17c96188a5f2748755f4de355a0f103e93b488108dbefb4c4b5714759f510,IMAGE,linux,amd64,"",0,CASE,"",""
registry.connect.redhat.com,ibm-edge/event-api,1.0.0,sha256:13902a13f7bca0d346e1af4719ac0be4b92d8d283c2c35068ecc1f1dedd676ab,IMAGE,linux,amd64,"",0,CASE,"",""
registry.connect.redhat.com,ibm-edge/store-api,1.0.0,sha256:e5dc124a4e9c9b1a85fc421c557bdd071b25330a093c61ba7430d69d477fcd4b,IMAGE,linux,amd64,"",0,CASE,"",""
registry.connect.redhat.com,ibm-edge/event-reader,1.0.0,sha256:819ffaf71e72b744cd9d8ce8fb40a60f1a2ada42c27bdfd160e6678b4538c38b,IMAGE,linux,amd64,"",0,CASE,"",""
registry.connect.redhat.com,ibm-edge/event-scheduler,1.0.0,sha256:93dd46f5a4e7cf5ff2b9c440fb75147bd7dffb426ba261355f39adcf91d86117,IMAGE,linux,amd64,"",0,CASE,"",""
registry.connect.redhat.com,ibm-edge/prometheus-scheduler,1.0.0,sha256:b7feb7e1ab0faa1fe2ec0fc0ce7d823e5476e9f5c13d7ed6a4c1eff013bf07bc,IMAGE,linux,amd64,"",0,CASE,"",""
registry.connect.redhat.com,ibm-edge/pgo-client,1.0.0,sha256:5af6f4603b6c5a173f75a408aabf806e660ce60ced5d3dbe76a0ccfcb01c78da,IMAGE,linux,amd64,"",0,CASE,"",""
registry.connect.redhat.com,ibm-edge/reverse-proxy,1.0.0,sha256:865d9288eb8a2ab50c1e75bf7849b0a8e4b33d0f72a984eed22639a20aeb8c7d,IMAGE,linux,amd64,"",0,CASE,"",""
registry.redhat.io,openshift4/ose-grafana,v4.5,sha256:a2e20cac50352c1ad13cd03185f326484ee20202c8a60313ba116920d6d6da88,IMAGE,linux,amd64,"",0,CASE,"",""
registry.redhat.io,openshift3/ose-kube-state-metrics,v3.11.286-1,sha256:4fc96dc7a835c37dd3441a2c78e094cbfff8ea7fc8432e99f979c00965184260,IMAGE,linux,amd64,"",0,CASE,"",""
